PROMOCIÓN:;ETEREA
CÓDIGO:;2510
RÉGIMEN:;PRECIO LIMITADO
IPREM;MÁXIMOS 2025
MODALIDAD;PRECIO LIMITADO
MODULO BASICO;894,36
MODULO PONDERADO;1341,54
PRECIO REFERENCIA;2683,08
PRECIO REF. ANEJOS;1609,848
LOCALIDAD:;ROTA
SITUACIÓN:;PLAN PARCIAL COSTA BALLENA. PARCELA H1
USO:;RESIDENCIAL VP
TIPOLOGÍA:;PLURIFAMILIAR ABIERTA
TIPO DE OBRA:;NUEVA PLANTA
FASE DEL PROYECTO:;PROYECTO BÁSICO
SISTEMA DE GESTIÓN:;COOPERATIVA
PROPIEDAD:;ETEREA COSTA BALLENA SDAD COOP ANDALUZA
PROMOTORA/GESTORA:;GRUPO SAMARADOR
ARQUITECTO:;JOSÉ MARÍA PÉREZ GUTIÉRREZ. COAC: 455
ESTUDIO:;GRUPO AUMA ARQUITECTURA, SLP.
ARQUITECTO TÉCNICO 1:;0
ARQUITECTO TÉCNICO 2:;0
COMERCIALIZADORA:;GRUPO SAMARADOR
DOCUMENTACIÓN COMERCIAL:;NICE TO BEST, SL.
INFOGRAFÍAS:;NICE TO BEST, SL.
GESTORA DE MATERIALES:;0
PROYECT MANAGMENT:;0
PROYECT MONITORING:;0
CONSTRUCTORA:;0
JEFE DE OBRAS:;0
ENCARGADO DE OBRA:;0
GEOTÉCNICO:;0
TOPOGRÁFICO:;0
ICT:;0
OCT:;0
SEGURO DECENAL:;0
PEM CONTRATADO:;0
COSTES DE URBANIZACIÓN:;0
ICIO:;0
TASAS LICENCIA:;0
FIANZA RESIDUOS:;0
FIANZA URBANIZACIÓN:;0
AÑO PUBLICACIÓN DATOS:;2023
FUENTE DE DATOS:;PEM unitario (COAC)
Residencial;1150,00
Comercial;500,00
Urb. Interior;93,66
Aparcamiento;550,00
Nº MÁX. VIVIENDAS:;259
Nº MÍNIMO PLZ. GARAJE:;197
Nº LOCALES COMERCIALES:;0
SUPERFICIE DE PARCELA:;14514,02
EDIFICABILIDAD MÁXIMA:;18156
PLANTAS MÁX. SR:;5
PLANTAS BR:;1
PEM PROYECTO:;25121885,15
Nº DE VIVIENDAS/APARTAMENTOS:;197
Nº PLAZAS GARAJE:;252
GARAJES CERRADOS:;0
Nº DE TRASTEROS:;214
EDIFICADO SR:;18697,37
EDIFICADO BR:;8880,69
EDIFICADO TOTAL:;27578,06
PLANTAS SR:;5
PLANTAS BR:;1
BAJO RASANTE:;8880,69
TOTAL RESIDENCIAL:;19656,06
COMERCIAL;0
NETO VIVIENDAS:;15349,2
EXTERIORES VIVIENDAS:;3954,33
ZONAS COMUNES INTERIORES:;2504,72
ZONAS COMUNES EXTERIORES:;289,33
TOTAL ZONAS COMUNES:;2794,05
BAJO RASANTE:;8880,69
TOTAL RESIDENCIAL:;18697,37
COMERCIAL:;1029,22
NETO VIVIENDAS:;15349,2
EXTERIORES VIVIENDAS:;3954,33
ZONAS COMUNES INT:;2215,39
ZONAS COMUNES EXT:;289,33
TOTAL ZONAS COMUNES:;2504,72
ZONAS COMUNES EXTERIORES:;289,33
VIVIENDAS:;14081,33
COMERCIAL:;0
Total SR;14081,33
TRASTEROS:;1555,06
GARAJES:;3670,19
Total BR;5225,25
SALÓN SOCIAL:;0
Residencial;1150
Comercial;500
Urb. Interior;93,66
Aparcamiento;550
PEM TOTAL:;25121885,15
