GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B1-PL-01;B1-TR-01;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-01;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-02;B1-TR-02;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-02;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-03;B1-TR-03;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-03;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-04;B1-TR-04;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-04;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-05;B1-TR-08;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-08;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-06;B1-TR-06;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-06;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-07;B1-TR-07;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-07;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-08;B1-TR-08;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-08;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-09;B1-TR-09;0,3789%;33,65;19,80;3,11;22,91;22,91;36.881,62 €;ABIERTO;B1-TR-09;0,2002%;17,78;10,46;8,00;12.878,78 €
B1-PL-10;B1-TR-10;0,3801%;33,76;19,86;3,12;22,98;22,98;36.994,31 €;ABIERTO;B1-TR-10;0,2013%;17,88;10,52;8,00;12.878,78 €
B1-PL-11;B1-TR-11;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-11;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-12;B1-TR-12;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-12;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-13;B1-TR-13;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-13;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-14;B1-TR-14;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-14;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-15;B1-TR-15;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-15;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-16;B1-TR-16;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-16;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-17;B1-TR-17;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-17;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-18;B1-TR-18;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-18;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-19;B1-TR-19;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-19;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-20;B1-TR-20;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-20;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-21;B1-TR-21;0,3104%;27,57;16,22;2,55;18,77;18,77;30.216,85 €;ABIERTO;B1-TR-21;0,1598%;14,19;8,35;8,00;12.878,78 €
B1-PL-22;B1-TR-22;0,3895%;34,59;20,35;3,20;23,55;23,55;37.911,92 €;ABIERTO;B1-TR-22;0,2057%;18,27;10,75;8,00;12.878,78 €
B1-PL-23;B1-TR-23;0,3919%;34,80;20,48;3,22;23,70;23,70;38.153,40 €;ABIERTO;B1-TR-23;0,2073%;18,41;10,83;8,00;12.878,78 €
B1-PL-24;B1-TR-24;0,3104%;27,57;16,22;2,55;18,77;18,77;30.216,85 €;ABIERTO;B1-TR-24;0,1596%;14,17;8,34;8,00;12.878,78 €
B1-PL-25;B1-TR-25;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-25;0,1330%;11,81;6,95;6,95;11.188,44 €
B1-PL-26;B1-TR-26;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-26;0,1336%;11,86;6,98;6,98;11.236,74 €
B1-PL-27;B1-TR-27;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-27;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-28;B1-TR-28;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-28;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-29;B1-TR-29;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-29;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-30;B1-TR-30;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-30;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-31;B1-TR-31;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-31;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-32;B1-TR-32;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-32;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-33;B1-TR-33;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-33;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-34;B1-TR-34;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-34;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-35;B1-TR-35;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-35;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-36;B1-TR-36;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-36;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-37;B1-TR-37;0,2723%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B1-TR-37;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-38;B1-TR-38;0,2723%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B1-TR-38;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-39;B1-TR-39;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-39;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-40;B1-TR-40;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-40;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-41;B1-TR-41;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-41;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-42;B1-TR-42;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-42;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-43;B1-TR-43;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-43;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-44;B1-TR-44;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-44;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-45;B1-TR-45;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-45;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-46;B1-TR-46;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-46;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-47;B1-TR-47;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-47;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-48;B1-TR-48;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-48;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-01;B2-TR-01;0,3487%;30,97;18,22;2,86;21,08;21,08;33.935,60 €;ABIERTO;B2-TR-01;0,1839%;16,33;9,61;8,00;12.878,78 €
B2-PL-02;B2-TR-02;0,3493%;31,02;18,25;2,87;21,12;21,12;33.999,99 €;ABIERTO;B2-TR-02;0,1803%;16,01;9,42;8,00;12.878,78 €
B2-PL-03;B2-TR-03;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-03;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-04;B2-TR-04;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-04;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-05;B2-TR-05;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-05;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-06;B2-TR-06;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-06;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-07;B2-TR-07;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-07;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-08;B2-TR-08;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-08;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-09;B2-TR-09;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-09;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-10;B2-TR-10;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-10;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-11;B2-TR-11;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-11;0,1401%;12,44;7,32;7,32;11.784,09 €
B2-PL-12;B2-TR-12;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-12;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-13;B2-TR-13;0,3623%;32,17;18,93;2,97;21,90;21,90;35.255,67 €;ABIERTO;B2-TR-13;0,1912%;16,98;9,99;8,00;12.878,78 €
B2-PL-14;B2-TR-14;0,3801%;33,76;19,86;3,12;22,98;22,98;36.994,31 €;ABIERTO;B2-TR-14;0,2013%;17,88;10,52;8,00;12.878,78 €
B2-PL-15;B2-TR-15;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-15;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-16;B2-TR-16;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-16;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-17;B2-TR-17;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-17;0,1391%;12,35;7,27;7,27;11.703,59 €
B2-PL-18;B2-TR-18;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-18;0,1334%;11,85;6,97;6,97;11.220,64 €
B2-PL-19;B2-TR-19;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-19;0,1336%;11,86;6,98;6,98;11.236,74 €
B2-PL-20;B2-TR-20;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-20;0,1332%;11,83;6,96;6,96;11.204,54 €
B2-PL-21;B2-TR-21;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-21;0,1334%;11,85;6,97;6,97;11.220,64 €
